City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
465,Lhokseumawe,ID,82.63,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
467,Salinopolis,BR,78.24,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
468,Mozarlandia,BR,78.19,broken clouds,-14.7447,-50.5706,Hotel Santa Mônica
470,Mamallapuram,IN,87.85,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
472,San Antonio,US,80.35,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
474,Itoman,JP,79.57,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
476,Benguela,AO,76.39,few clouds,-12.5763,13.4055,Hotel Praia Morena
487,Madang,PG,86.99,scattered clouds,-5.2246,145.7966,Comfort Inn Hotel
491,Pedana,IN,84.38,overcast clouds,16.2667,81.1667,Sai Durga Hotel
492,Aden,YE,80.83,clear sky,12.7794,45.0367,Sama Emirate Hotel
496,Inhambane,MZ,75.06,light rain,-23.865,35.3833,Oceano
499,Zabid,YE,79.07,clear sky,14.1951,43.3152,مغرب التريبه
508,Bonthe,SL,75.06,light rain,7.5264,-12.505,Bonthe Holiday Village
510,Takoradi,GH,79.66,light rain,4.8845,-1.7554,Raybow International Hotel
514,Maunabo,PR,76.89,few clouds,18.0072,-65.8993,Maunacaribe
521,Do Gonbadan,IR,77.04,overcast clouds,30.3586,50.7981,شبکه بهداشت و درمان گچساران
526,Tonk,IN,86.99,clear sky,26.1667,75.7833,Hotel sheetal Resort & Midway Restaurant
531,Choctaw,US,75.06,scattered clouds,35.4976,-97.2689,Woodland Hills Mobile Home Prk
533,Pese,PA,75.79,overcast clouds,7.9,-80.6167,Hotel Pesé
537,Conakry,GN,77.47,overcast clouds,9.538,-13.6773,Riviera Royal Hotel
550,Tabou,CI,78.62,light rain,4.423,-7.3528,hotêl doufoulougou
555,Minna,NG,76.46,overcast clouds,9.6139,6.5569,Royal Park hotel & suites
557,Mont-Dore,NC,84.18,few clouds,-22.2833,166.5833,GIte
558,Kharan,PK,80.85,few clouds,28.5833,65.4167,Dil Aram Bangla
568,Taunggyi,MM,82.65,clear sky,20.7833,97.0333,True Treasure Hotel
573,Ternate,ID,84.81,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
579,Kushima,JP,76.08,scattered clouds,31.4583,131.2333,Hanaoka
581,Tutoia,BR,77.86,overcast clouds,-2.7619,-42.2744,Pousada Guará's
585,Hat Yai,TH,86.18,few clouds,7.0084,100.4767,New Season Hotel
588,San Rafael Del Sur,NI,83.5,clear sky,11.8485,-86.4384,Hospedaje El Chino
594,Tabon,PH,83.19,overcast clouds,9.2388,117.9946,Port Lodge
596,Basco,PH,77.25,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
598,Kirakira,SB,84.94,scattered clouds,-10.4544,161.9205,SanBiz Lodge
602,Pemba,MZ,79.93,overcast clouds,-12.974,40.5178,Guesthouse Samotina
603,Weligama,LK,81.81,overcast clouds,5.9667,80.4167,Weligama Bay Resort
612,Miragoane,HT,78.37,clear sky,18.4423,-73.0876,Wj hotel
614,Padang,ID,84.25,scattered clouds,-0.9492,100.3543,Mercure Padang
615,San-Pedro,CI,77.0,light rain,4.7485,-6.6363,Hotel Maria
616,Gwadar,PK,80.11,clear sky,25.1216,62.3254,Sadaf Resort
619,Soe,ID,80.1,moderate rain,-9.8607,124.284,Dena Hotel
622,Tura,IN,81.32,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
625,Piacabucu,BR,77.09,broken clouds,-10.4056,-36.4344,Piaçabuçu News
626,Benemerito De Las Americas,MX,76.41,overcast clouds,16.5167,-90.6439,Hotel Fontera Sur
629,Yarada,IN,86.32,few clouds,17.65,83.2667,Yarada Jungle Beach Resorts
634,Kendari,ID,89.82,overcast clouds,-3.945,122.4989,Hotel Wixel
636,Meulaboh,ID,82.4,overcast clouds,4.1363,96.1285,Kost Pria
640,Bartica,GY,77.32,few clouds,6.4,-58.6167,Sloth Island Nature Resort
646,West Odessa,US,81.81,clear sky,31.8424,-102.4988,Corporate Mobile Housing
654,Palu,ID,87.06,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
656,Pemangkat,ID,84.6,overcast clouds,1.1667,108.9667,Ramah Kost KITA
659,Pasni,PK,79.41,clear sky,25.2631,63.471,Kashmiri Hotal
662,Mazagao,BR,77.05,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
669,Cockburn Town,TC,77.16,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
672,Nanning,CN,82.27,clear sky,22.8167,108.3167,Nanning Travelling With Hostel
681,Namatanai,PG,85.98,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
682,Son La,VN,86.56,clear sky,21.3167,103.9,Galaxy Grand Hotel
